id,vendedor,tag_loja,avaliacoes,descricao,fl_item_ativo,link,produtos_a_venda,produtos_vendidos,tempo_medio_envio,no_enjoei_desde,anomesdia_particao
505,nayema,"palmas, PR",(84 avaliações),"airpods pro com estojo de recarga sem fio e cancelamento de ruído. modelo a2083 a2084 a2190. produto em ótimo estado, ideal para quem busca qualidade de áudio e praticidade.",1,https://www.enjoei.com.br/p/airpods-pro-primeira-geracao-com-estojo-de-recarga-sem-fio-142822378?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=3,21,173,3 dias,jul/2019,20260711
506,cintia,"Barueri, SP",(246 avaliações),"fonte usb apple original, novo na caixanecessário o cabo usb!compatível com:14 plus; 1413 pro; 13 pro max; 13 mini; 13se (3ª geração); 12 pro; 12 pro max; 12 mini; 12iphone 11 pro 11 pro max; 11; se (2ª geração)xs; xs max; xr; x8; 8 plus7; 7 plus6s; 6s plus 6; 6 plusse (1ª geração) 5s 5c 5ipad apple watch ipod air pods",1,https://www.enjoei.com.br/p/fonte-usb-carregador-original-apple-iphone-111695058?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=4,177,337,4 dias,nov/2023,20260711
507,vitoria,"são paulo, SP",(0 avaliação),"apple watch se 2, 40mm, cor starlight, gps + cellular. em ótimo estado e funcionando perfeitamente, com saúde da bateria em 86%. acompanha caixa e carregador. única dona",1,https://www.enjoei.com.br/p/apple-watch-se-2-40mm-gps-celullar-143403262?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=5,1,0,n/a,mai/2026,20260711
508,maria,loja em destaque,(194 avaliações),"tv goldstar vintage analógica. para assistir aos canais abertos atuais (globo, sbt, etc.), você precisará conectar um conversor digital e uma antena externa na entrada traseira. sem o conversor, a tela apresentará apenas o charmoso chiado 'chuvisco' clássico.",1,https://www.enjoei.com.br/p/tv-goldstar-vintage-analogica-146171453?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=6,354,469,2 dias,set/2023,20260711
509,paola,loja em destaque,(21 avaliações),"lote com duas câmeras analógicas clássicas, ideais para colecionadores ou para decoração. os itens são raros e estão sendo vendidos no estado, com estética excelente. o funcionamento é incerto, pois estão paradas, nunca levei ao conserto para saber se podem funcionar ou não.#camerasvintage #colecionismo #decoracaovintage #fotografiaantiga",1,https://www.enjoei.com.br/p/lote-2-cameras-analogicas-vintage-146106717?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=7,88,58,2 dias,mar/2022,20260711
510,taiwana,"São Paulo, SP",(2 avaliações),"apple watch se 44mm na cor cinza, em ótimo estado de funcionamento. possui um pequeno detalhe na tela que não interfere no uso. saúde da bateria em 88%. acompanha carregador original e duas pulseiras.",1,https://www.enjoei.com.br/p/apple-watch-se-44mm-prata-141469976?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=8,1,7,12 dias,mar/2016,20260711
511,adriano,"Caxias do Sul, RS",(3 avaliações),"passador de slides sem fio com laser pointer, ideal para apresentações. fácil de usar, compacto e funcionando perfeitamente. produto em ótimo estado.",1,https://www.enjoei.com.br/p/passador-de-slides-sem-fio-com-laser-pointer-145110079?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=9,5,10,1 dia,mar/2018,20260711
512,cintia,"Barueri, SP",(246 avaliações),"cabo usb apple original 1m novocompatível com:iphone 14 plus; 14 pro max13 pro; 13 pro max; 13 mini; 13se (3ª geração); 12 pro; 12 pro max; 12 mini; 12iphone 11 pro; 11 pro max; 11; se (2ª geração)xs; xs max; xr; x8; 8 plus7; 7 plus6s; 6s plus; 6; 6 plusse (1ª geração); 5s; 5c; 5ipad, apple watch, ipod, air pods",1,https://www.enjoei.com.br/p/cabo-apple-iphone-usb-original-novo-141086720?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=10,177,337,4 dias,nov/2023,20260711
513,fernando,"São Paulo, SP",(10 avaliações),"fone de ouvido philips in ear 1000 series, true wireless, na cor preta. acompanha caixa original, cabo usb e borrachinhas extras. produto original, em ótimo estado.",1,https://www.enjoei.com.br/p/fone-de-ouvido-philips-in-ear-1000-series-144297653?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=11,4,13,2 dias,abr/2022,20260711
514,adriano,"Manoel Ribas, PR",(29 avaliações),"relógio garmin forerunner 165 na cor preta, em ótimo estado de conservação, sem detalhes. ideal para monitoramento de atividades físicas como corrida, atletismo e esteira.",1,https://www.enjoei.com.br/p/relogio-garmin-forerunner-165-preto-144918429?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=12,16,66,1 dia,jun/2024,20260711
515,edvania,loja em destaque,(391 avaliações),"jogo the king of fighters xiii para playstation 3. o jogo está em ótimo estado de conservação, pronto para ser jogado.",1,https://www.enjoei.com.br/p/jogo-the-king-of-fighters-xiii-ps3-140188807?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=13,264,937,1 dia,jul/2024,20260711
516,débora,"maringá, PR",(75 avaliações),"06 cases novas para apple watch 3 (38mm)envio apenas pela jadlog. caso a plataforma selecione os correios, infelizmente terei que cancelar a compra.",1,https://www.enjoei.com.br/p/cases-para-apple-watch-3-134493344?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=14,21,124,1 dia,nov/2024,20260711
517,renato,"Caraguatatuba, SP",(4 avaliações),"câmera de ação akaso v50x 4k wifi com tela touch, à prova d'água até 40m, com eis e controle remoto. inclui 2 baterias, kit de acessórios e cartão microsd kingston de 128gb. ideal para esportes e aventuras. instacta, pouco uso",1,https://www.enjoei.com.br/p/camera-de-acao-akaso-v50x-4k-wifi-com-cartao-de-memoria-143136149?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=15,2,6,1 dia,nov/2023,20260711
518,marcelo,loja em destaque,(1330 avaliações),"balança funcionando e ligando normalmente. apresenta pequena oscilação na leitura do peso (varia alguns gramas para mais ou para menos), podendo necessitar de calibração ou revisão para uso comercial mais preciso.- bivolt.- acompanha caixa com desgastes.- envio no mesmo dia para pedidos confirmados até às 14h30 (seg a sex).",1,https://www.enjoei.com.br/p/balanca-digital-segma-40-kg-leia-a-descricao-wc1-144855415?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=1,604,3 mil,1 dia,nov/2021,20260711
519,marcelo,loja em destaque,(1330 avaliações),"bateria original em ótimo estado de conservação, funcionando perfeitamente, sem vício.- envio no mesmo dia para pedidos confirmados até às 14h30 (seg a sex).em caso de dúvidas estarei a disposição :)",1,https://www.enjoei.com.br/p/bateria-original-camera-digital-samsung-bp70a-cx12-145687771?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=2,604,3 mil,1 dia,nov/2021,20260711
520,marcelo,loja em destaque,(1330 avaliações),"aparelho não liga, requer reparo.- envio no mesmo dia para pedidos confirmados até às 14h30 (seg a sex).em caso de dúvidas estarei a disposição :)",1,https://www.enjoei.com.br/p/videocassete-panasonic-omnivision-vhs-leia-a-descricao-wc1-145358539?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=3,604,3 mil,1 dia,nov/2021,20260711
521,marcelo,loja em destaque,(1330 avaliações),pendrive funcionando.- 8gb- envio no mesmo dia para pedidos confirmados até às 14h30 (seg a sex).em caso de dúvidas estarei a disposição :),1,https://www.enjoei.com.br/p/pen-drive-8gb-aviao-da-gol-linhas-aereas-cx13-145863531?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=4,604,3 mil,1 dia,nov/2021,20260711
522,marcelo,loja em destaque,(1330 avaliações),"celular em ótimo estado de conservação, só que não está ligando. não dá nenhum sinal de vida.- envio no mesmo dia para pedidos confirmados até às 14h30 (seg a sex).em caso de dúvidas estarei a disposição :)",1,https://www.enjoei.com.br/p/celular-retro-samsung-e2210l-leia-a-descricao-cx25-144802625?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=5,604,3 mil,1 dia,nov/2021,20260711
523,giovanna,"Taboão da Serra, SP",(69 avaliações),"impressora multifuncional epson xp-401, em perfeito estado e funcionando bem. os cartuchos estão vazios. ideal para uso doméstico ou em pequenos escritórios.",1,https://www.enjoei.com.br/p/impressora-multifuncional-epson-xp-401-cartuchos-vazios-145989074?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=16,12,119,1 dia,out/2022,20260711
524,roberta,"Rio de Janeiro, RJ",(30 avaliações),"ipad mini 2 com 16gb de armazenamento, na cor cinza espacial. acompanha teclado. aparelho usado, mas em bom estado de conservação, com alguns sinais de uso na parte traseira.",1,https://www.enjoei.com.br/p/ipad-mini-2-16gb-cinza-espacial-teclado-bluetooh-logitech-compativel-excelente-estado-sem-defeitos-145721346?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=17,7,43,1 dia,jan/2013,20260711
525,jessica,"São Paulo, SP",(14 avaliações),"acessório kinect para xbox360 e um jogo para iniciar a diversão!possui pequenas marcas de uso no acessório e na capa do disco, mas são muito discretas e não alteram o funcionamento!produtos originais!",0,https://www.enjoei.com.br/p/kinect-e-jogo-kinect-adventures-xbox360-145522627?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=18,0,27,1 dia,jun/2024,20260711
526,adriano,"belo horizonte, MG",(80 avaliações),"capinha para iphone 12, 13 e 14, na cor azul. possui módulo quadrado padrão. com o logo da apple na parte traseira. usada, mas em bom estado de conservação.",1,https://www.enjoei.com.br/p/capinha-iphone-12-13-14-azul-141791176?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=19,43,165,2 dias,mar/2024,20260711
527,jaqueline,loja em destaque,(277 avaliações),"capa de celular iphone 12 . capa nova , na embalagem . r$ 19",1,https://www.enjoei.com.br/p/capa-de-i-phone-145548386?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=20,225,790,2 dias,mai/2021,20260711
528,jean,"curitiba, PR",(0 avaliação),"fone de ouvido soundcore p30i na cor branca, novo na caixa. possui cancelamento de ruído adaptativo, som potente com drivers de 10mm e 10 horas de reprodução (45 horas com o estojo). conta com 4 microfones para chamadas claras e estojo de carregamento 2 em 1 que também funciona como suporte para celular.",1,https://www.enjoei.com.br/p/fone-de-ouvido-soundcore-p30i-branco-144167382?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=21,3,0,n/a,jun/2026,20260711
529,caio,loja em destaque,(0 avaliação),"jogo deadalus para sega saturn, versão japonesa. o jogo está em bom estado de conservação, ideal para colecionadores e fãs de jogos retrô.",1,https://www.enjoei.com.br/p/jogo-deadalus-sega-saturn-japones-146315400?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=22,12,0,n/a,set/2024,20260711
530,luciana,loja em destaque,(48 avaliações),"kit com 2 capinhas para iphone 15, sendo uma gocase com estampa floral e uma customic transparente com glitter, e um carregador portátil de 10.000mah. itens em ótimo estado de conservação.",1,https://www.enjoei.com.br/p/kit-2-capinhas-iphone-15-e-carregador-portatil-146269912?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=23,11,79,1 dia,mai/2014,20260711
531,andrey,loja em destaque,(0 avaliação),"caixa de som jbl xtreme 3 original, na cor preta. em perfeito estado de conservação, usada. acompanha carregador original.",1,https://www.enjoei.com.br/p/caixa-de-som-jbl-xtreme-3-preta-146184858?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=24,34,2,n/a,mai/2024,20260711
532,kelle,"goiânia, GO",(33 avaliações),"capa transparente para iphone 17 pro max, com estampa de adesivos coloridos e divertidos. ideal para proteger seu celular com estilo. produto novo.",1,https://www.enjoei.com.br/p/capa-para-iphone-17-pro-max-transparente-143840761?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=25,91,135,1 dia,jun/2024,20260711
533,daniel,"Rio de Janeiro, RJ",(3 avaliações),"kit com 8 jogos originais para ps3, incluindo títulos como god of war collection, mortal kombat, assassin's creed brotherhood, shaun white snowboarding, god of war ascension, arkham asylum, call of duty modern warfare 3 e fifa world cup south africa. todos em ótimo estado de conservação. não vendo os jogos separadamente.",1,https://www.enjoei.com.br/p/kit-8-jogos-ps3-originais-140528777?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=26,12,5,6 dias,jul/2022,20260711
534,fernanda,"São José do Rio Preto, SP",(47 avaliações),"ipad air de 4ª geração com 64gb de armazenamento. o aparelho está em perfeito estado de conservação, sem riscos e funcionando 100%. nunca passou por assistência técnica.",0,https://www.enjoei.com.br/p/ipad-air-4-geracao-64gb-146138699?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=27,1,84,3 dias,jul/2021,20260711
535,,,,,0,https://www.enjoei.com.br/p/iphone-16-preto-144631876?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=28,,,,,20260711
536,felipe,loja em destaque,(12 avaliações),"apple iphone x com 64gb de armazenamento, na cor branca, sem reset acompanha caixa e acessórios originais.",0,https://www.enjoei.com.br/p/apple-iphone-x-64gb-branco-145841417?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=29,53,42,4 dias,jan/2026,20260711
537,elizete,"Montes Claros, MG",(1 avaliação),"duas capas de silicone para iphone 11, nas cores rosa bebê e roxa. as capas são novas e oferecem proteção para o seu aparelho.",1,https://www.enjoei.com.br/p/duas-cases-de-silicone-para-iphone-11-rosa-e-roxa-146198452?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=5&rspix=30,1,3,n/a,jul/2018,20260711
538,jessica,loja em destaque,(95 avaliações),"boneco shroomboom, personagem da franquia skylanders. esta miniatura representa sua versão de estreia (série 1) com a base translúcida laranja, lançada originalmente para o jogo skylanders: giants.",1,https://www.enjoei.com.br/p/boneco-shroomboom-skylanders-giants-145749582?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=1,604,297,1 dia,jul/2013,20260711
539,beatriz,"rio de janeiro, RJ",(1 avaliação),"câmera digital panasonic lumix dmc-ts20 na cor laranja. modelo à prova d'água, ideal para fotos em ambientes externos e aquáticos. possui lente mega o.i.s. / 25mm wide. usada, em bom estado de conservação. infelizmente não tenho mais a bateria original mas facilmente encontrada para comprar online",1,https://www.enjoei.com.br/p/camera-digital-panasonic-lumix-dmc-ts20-laranja-145321441?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=2,6,12,4 dias,jul/2024,20260711
540,leidystore,"são paulo, SP",(209 avaliações),"cpu hp compacta desktop com processador, memória, tudo funcionando exceto a placa que está oscilando, dando uns picos, testei mais percebi que a placa precisará passar por um pequeno reparo, quem souber mexer ou trabalha com isso com certeza fará funcionar, como não preciso, pois já tenho outro coloquei a venda!",1,https://www.enjoei.com.br/p/cpu-compacta-desktop-hp-145288296?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=3,156,551,2 dias,jan/2022,20260711
541,flavio,"São Paulo, SP",(16 avaliações),"dois iphones, um modelo 6s na cor prata e um modelo 8 na cor preta, ambos com 64gb de armazenamento. os aparelhos estão usados, mas funcionam super bem e a bateria está com a saúde acima de 70%. não acompanham carregador ou outros acessórios. ideais para colecionadores ou para uso diário.",1,https://www.enjoei.com.br/p/iphones-6s-e-8-64gb-142164727?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=4,90,40,1 dia,mai/2022,20260711
542,laura,"são paulo, SP",(1 avaliação),"pouco usado. vendendo pq troquei de celular. para iphone 16 pro max, no modelo infinite guard da gocase: proteção reforçada e assegurada para o aparelho.",1,https://www.enjoei.com.br/p/capa-de-celular-gocase-snoopy-iphone-16-pro-max-146298643?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=5,5,12,9 dias,jul/2013,20260711
543,augusto,"São José dos Campos, SP",(6 avaliações),"jogo too human para xbox 360, original e completo. em ótimo estado de conservação, pronto para jogar.",1,https://www.enjoei.com.br/p/jogo-too-human-xbox-360-144818772?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=6,36,12,1 dia,nov/2024,20260711
544,janete,"rio de janeiro, RJ",(0 avaliação),"escova de dentes elétrica sônica philips sonicare, na cor branca. o kit contém 2 escovas novas. proporciona dentes mais brancos em 1 semana e remove 600% mais placa.",1,https://www.enjoei.com.br/p/escova-de-dentes-eletrica-sonica-philips-sonicare-146117856?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=7,18,4,n/a,jun/2026,20260711
545,brenda,"belo horizonte, MG",(75 avaliações),capa silicone iphone 15 pro max azul claro nova,1,https://www.enjoei.com.br/p/capa-silicone-iphone-15-pro-max-azul-claro-nova-145893688?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=8,148,182,1 dia,mar/2014,20260711
546,alexandre,"são paulo, SP",(207 avaliações),"console game galaganovo, na caixacomprado nos eua",1,https://www.enjoei.com.br/p/console-game-galaga-113671447?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=9,131,354,1 dia,out/2020,20260711
547,luana,"Caxias do Sul, RS",(0 avaliação),"samsung galaxy s23 com 128gb de armazenamento, na cor branca. aparelho usado por pouco menos de 2 anos, muito bem conservado e funcionando perfeitamente, sem nenhum defeito. sempre utilizado com capa e película, bateria com ótima duração. acompanha 2 capinhas gocase, estado de novas.",1,https://www.enjoei.com.br/p/samsung-galaxy-s23-128gb-branco-146215360?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=10,1,0,n/a,abr/2020,20260711
548,sonia,"Lavínia, SP",(19 avaliações),"massageador muscular elétrico portátil b-max, 3 em 1, com carregamento usb. acompanha acessórios para diferentes tipos de massagem. em ótimo estado de uso e conservação, sem avarias.",1,https://www.enjoei.com.br/p/massageador-muscular-b-max-eletrico-portatil-144405487?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=11,7,37,2 dias,ago/2022,20260711
549,william,"Sumaré, SP",(0 avaliação),"celular samsung galaxy s24 fe na cor preta, com menos de um ano de uso. acompanha nota fiscal e caixa original. possui película protetora na tela, que está sem arranhões. a bateria dura o dia todo. apresenta pequenos detalhes de uso nas laterais.",1,https://www.enjoei.com.br/p/celular-samsung-galaxy-s24-fe-preto-142892055?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=12,2,0,n/a,jun/2021,20260711
550,tio,loja em destaque,(0 avaliação),"jogo harry potter and the half-blood prince para playstation 3. mídia física em bom estado de conservação, ideal para fãs da saga. divirta-se com as aventuras de harry potter neste clássico dos games.",1,https://www.enjoei.com.br/p/jogo-ps3-harry-potter-and-the-half-blood-prince-146044384?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=13,5,0,n/a,jun/2025,20260711
551,isabella,"são paulo, SP",(0 avaliação),"câmera digital dvc na cor vermelha, com resolução 1080p e 16.0 megapixels. ideal para registrar seus eventos com qualidade.usada poucas vezes e em excelente condição, com poucas marcas de uso.acompanha carregador e cartão de memória.aceito proposta coerente.para retirar em estações de trem de sp.",1,https://www.enjoei.com.br/p/camera-digital-dvc-1080p-vermelha-estilo-tecpix-146248808?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=14,1,0,n/a,mai/2026,20260711
552,porão,loja em destaque,(198 avaliações),"amplificador de guitarra meteorometeoro space junior 35gs possui um falante de 6 polegadas e oferece 35 watts de potência.o equipamento inclui dois canais distintos, (clean) e distorcidos (drive).equalização (agudo, médio, grave) e uma saída específica para fones de ouvido110/220 volts funcionando perfeitamente",1,https://www.enjoei.com.br/p/amplificador-de-guitarra-meteoro-145945878?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=15,576,433,1 dia,abr/2018,20260711
553,alex,loja em destaque,(916 avaliações),"drone potensic navigator ii na cor vermelha, acompanha controle. ideal para iniciantes e entusiastas, leve e fácil de manusear. o drone liga normalmente, mas não foi testado em voo. perfeito para quem busca diversão e novas perspectivas. somente drone e controle.",1,https://www.enjoei.com.br/p/drone-potensic-navigator-ii-vermelho-146239567?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=1,577,2 mil,1 dia,jun/2022,20260711
554,alex,loja em destaque,(916 avaliações),"reviva a nostalgia com o clássico jogo de vídeo game defensor! reviva a emoção de lutar contra o mal com este console vibrante, perfeito para horas de diversão. descubra 5 fases emocionantes e mergulhe em aventuras inesquecíveis. ideal para colecionadores e novos fãs! novo na caixa, só foi testado.",1,https://www.enjoei.com.br/p/video-game-defensor-novo-145236271?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=2,577,2 mil,1 dia,jun/2022,20260711
555,alex,loja em destaque,(916 avaliações),"câmera analógica mitsuca m-s80 mini, em bom estado físico. a câmera está disparando normalmente, mas não foi testada com filme.",0,https://www.enjoei.com.br/p/camera-analogica-mitsuca-m-s80-mini-145393370?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=3,577,2 mil,1 dia,jun/2022,20260711
556,alex,loja em destaque,(916 avaliações),"duas câmeras digitais sony cybershot na cor prata, sem funcionamento. ideais para conserto ou retirada de peças. ambas as câmeras apresentam sinais de uso. a maior liga, o canhão sai mas está com o lcd branco.",1,https://www.enjoei.com.br/p/duas-cyber-shot-sem-funcionamento-145489976?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=4,577,2 mil,1 dia,jun/2022,20260711
557,alex,loja em destaque,(916 avaliações),"câmera olympia dl2000 com flash mirage 218m. a câmera foi testada com pilhas e acendeu, mas não foram realizados outros testes. o flash não foi testado. produto no estado em que se encontra.",1,https://www.enjoei.com.br/p/camera-olympia-dl2000-com-flash-mirage-218m-146236025?action_source=seller_highlighted&rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=5,577,2 mil,1 dia,jun/2022,20260711
558,adriana,"são paulo, SP",(0 avaliação),"gps garmin modelo gpsmap 620, ideal para uso em barcos. o aparelho está em ótimo estado, pouquíssimo usado, funcionando perfeitamente. acompanha carregador e capa protetora.",1,https://www.enjoei.com.br/p/gps-garmin-gpsmap-620-para-barcos-145859129?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=16,19,12,3 dias,jan/2017,20260711
559,david,"Florianópolis, SC",(1 avaliação),"the evil within para xbox one é um jogo de terror psicológico que mergulha os jogadores em uma experiência intensa e envolvente. com mídia física em disco, o jogo é totalmente dublado em português, permitindo que os jogadores desfrutem da narrativa sem barreiras linguísticas. desenvolvido pela renomada tango gameworks e publicado pela bethesda.",1,https://www.enjoei.com.br/p/the-evil-within-midia-fisica-usado-em-perfeito-estado-145541863?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=17,4,1,n/a,set/2023,20260711
560,alexandre,"são paulo, SP",(207 avaliações),"flash drive usb 3.0 16gb -marca pny (original) -novo, lacrado",1,https://www.enjoei.com.br/p/flash-drive-usb-3-0-16gb-marca-pny-original-novo-lacrado-126934559?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=18,131,354,1 dia,out/2020,20260711
561,ana,"Uberlândia, MG",(12 avaliações),"fujifilm impressora instax link wide - cor cinza branco, perfeita usada 3x, estado de nova. produto comprado nos eua.",1,https://www.enjoei.com.br/p/fujifilm-impressora-instax-link-wide-146215343?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=19,25,23,4 dias,dez/2015,20260711
562,waldir,"Maricá, RJ",(18 avaliações),"ssd m.2 adata legend 710 de 512gb, pcie gen3 x4. ideal para quem busca alta performance e velocidade para seu computador. produto em excelente estado de conservação, com 99% de saúde, conforme imagem. perfeito para upgrades ou montagem de novas máquinas.",1,https://www.enjoei.com.br/p/ssd-m-2-adata-legend-710-512gb-obs-produto-seminovo-segue-na-embalagem-original-146179907?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=20,31,34,1 dia,ago/2025,20260711
563,alexandre,"São Paulo, SP",(89 avaliações),atenção leia o anúncio antes de iniciar sua compra teclado para tablet ficou muito tempo guardado está novo as capas estão descascando como mostra as fotosmais tudo funcionando perfeitamente medida 23cm de largura aberto 31 cm de cumprimento cor branca rosa e roxotudo funcionando entrada usbveja se é compatível ver fotoda entrada usb por favor,1,https://www.enjoei.com.br/p/teclado-para-tablet-117917498?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=21,58,249,2 dias,out/2021,20260711
564,carvalho,"Suzano, SP",(0 avaliação),"câmera digital sony cyber-shot, na cor roxa, com lente carl zeiss e 16.2 megapixels. em ótimo estado de conservação, ideal para quem busca uma câmera compacta e de qualidade.",1,https://www.enjoei.com.br/p/rarissimas-camera-digital-sony-cyber-shot-roxa-nova-145980126?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=22,13,2,n/a,jun/2026,20260711
565,caroline,"são paulo, SP",(9 avaliações),"jogo star wars battlefront 2 para psp, versão greatest hits. o jogo está em ótimo estado, pronto para ser jogado. divirta-se com as batalhas épicas de star wars no seu psp.",1,https://www.enjoei.com.br/p/jogo-psp-star-wars-battlefront-2-greatest-hits-141030720?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=23,9,17,2 dias,jun/2020,20260711
566,nicole,"São José dos Campos, SP",(8 avaliações),"iphone 11 com 128gb de armazenamento, na cor preta. o aparelho está funcionando normalmente, porém possui tela rachada, face id não funciona e a bateria está com 69% de saúde, sendo recomendada a troca. as demais funções estão funcionando normalmente (câmeras, áudio, wi-fi, bluetooth). acompanha apenas o aparelho.",1,https://www.enjoei.com.br/p/iphone-11-128gb-preto-146248847?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=24,1,26,3 dias,ago/2014,20260711
567,,,,,0,https://www.enjoei.com.br/p/iphone-13-128gb-branco-146139513?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=25,,,,,20260711
568,guilherme,"são paulo, SP",(3 avaliações),"iphone 15 pro max, 256gb, na cor azul com caixa. aparelho usado, mas em ótimo estado, sem arranhões ou amassados. bat 77%,",1,https://www.enjoei.com.br/p/iphone-15-pro-max-144107148?rsid=8bf284bc-febe-48b5-91e4-596206b91c94-1783610354333&rsp=6&rspix=26,4,5,5 dias,jun/2025,20260711
